txn_vol,accepted_txn,failed_txn,capital_granted
1676638.4,16496,1080,0
95575.0,645,300,0
94405.0,681,80,1
80246.0,71,12,1
52483.0,252,63,1
39364.0,137,42,1
35324.0,151,22,1
177009.6,800,136,1
131568.5,244,25,1
98593.5,349,31,1
16513.0,89,9,1
82344.9,608,24,1
214698.8,1255,482,1
157454.59,689,46,1
110400.0,102,8,0
42645.15,485,79,1
18719.84,47,15,1
51578.56,422,198,1
223358.64,260,40,1
1513153.24,779,213,1
84564.4,914,930,1
552992.44,481,272,0
107556.57,91,40,1
2589089.94,696,114,0
82804.0,242,128,1
352061.17000000004,99,18,0
37742.91,443,319,1
17910.0,23,8,1
307678.51,115,28,1
52656.7,530,60,1
126447.52,159,35,0
33408.0,70,17,1
76296.42,680,336,1
661959.36,6128,1424,0
51542.0,173,21,1
126758.7,334,204,1
262110.0,2015,166,1
16649.0,139,113,1
260758.5,963,89,1
63350.0,192,19,1
919422.09,3509,1554,1
82313.0,786,578,1
48170.0,128,28,1
54310.0,181,19,1
34666.9,239,23,1
52196.2,261,41,1
244275.68,112,13,1
62596.7,68,9,1
648498.0,1740,174,1
9480.0,107,32,1
13446.0,21,9,1
81688.0,359,43,1
105832.0,876,196,1
32100.0,103,4,1
6136.0,41,14,1
13931.0,18,3,1
14320.0,24,2,1
194214.0,672,66,1
74099.43000000001,618,340,1
191344.0,605,46,1
76844.0,136,34,1
60082.0,265,26,1
44945.38,411,257,1
217432.55,115,24,1
13385.0,19,7,1
94850.0,49,10,0
56245.5,181,10,1
25706.03,194,150,1
22333.0,58,1,1
27248.0,32,1,1
90628.5,406,40,1
17670.0,32,21,1
91104.0,354,154,1
38346.0,139,28,1
172336.13,223,91,1
32903.0,53,3,1
35073.92,143,16,1
59993.76,796,169,1
92582.88,783,433,1
266826.0,920,180,1
15110.0,44,28,1
138620.0,61,10,1
16461.98,67,58,1
33181.5,268,123,1
293830.0,2348,692,1
94132.1,447,44,1
44455.0,125,16,1
18740.0,89,56,1
29799.5,75,16,1
75665.0,145,20,1
24889.93,76,8,1
37540.0,117,7,1
10524.8,175,22,1
80131.35,209,29,1
32175.0,113,129,1
66392.0,253,79,1
65976.0,35,14,1
50081.5,115,19,1
19430.0,108,16,1
144136.0,1290,356,1
183921.9,2989,1263,1
79800.0,108,8,1
51546.0,156,8,0
99824.43,272,57,1
139466.0,4199,443,1
67192.0,495,173,0
62320.0,162,117,1
72852.0,55,15,1
186567.62,168,16,1
118432.2,137,21,1
66439.0,307,58,1
274027.05,444,29,1
71825.3,277,56,1
23608.0,222,38,1
66800.0,89,21,1
1236570.0,771,165,0
39500.0,225,39,1
271311.75,267,48,0
307590.95,1933,260,1
83151.0,142,18,1
239220.0,6707,1109,1
30805.0,52,11,1
20161.0,66,18,1
206208.04,796,346,1
24875.5,761,82,1
84113.33,110,7,0
272284.0,86,30,1
68033.35,110,5,1
31737.0,81,13,1
52745.58,485,63,0
341475.92000000004,1037,145,1
36351.0,321,42,1
319813.2,850,246,1
61905.0,654,95,1
19200.0,48,13,1
12172.0,119,84,1
408995.93000000005,1831,379,1
24421.0,100,6,1
29746.47,188,98,1
444563.0,383,84,1
72043.0,195,54,1
30800.0,94,11,1
13309.99,36,5,1
14665.0,50,8,1
272684.84,679,83,0
69472.0,414,236,1
973877.28,3714,418,1
552150.0,1101,42,0
81935.0,246,48,1
181657.0,1110,316,1
509907.6,3018,942,1
15375.0,35,15,1
67073.5,239,17,1
15325.0,60,6,1
124591.0,237,52,1
128008.0,1071,330,1
89616.9,1537,306,1
1985800.0,404,142,0
74890.0,208,20,0
26435.0,472,112,1
101726.22,120,28,1
159483.77,432,133,1
66786.0,215,15,1
38380.0,67,12,1
26347.0,92,10,1
95126.0,134,40,1
66563.0,207,15,1
356753.5,1317,258,1
96405.0,136,29,1
36105.0,93,9,1
28456.0,97,40,1
21455.0,59,20,1
63700.0,32,14,1
72265.3,189,47,1
103137.0,435,69,1
48810.0,78,17,1
81261.0,421,222,1
92581.4,57,28,1
227758.5,1834,627,1
36881.05,163,61,1
20014.0,154,86,0
12905.0,43,5,1
30232.0,69,19,1
315026.0,3230,1050,1
20832.0,74,19,1
48365.95,369,86,1
82939.29000000001,805,434,0
23386.0,48,14,1
11400.0,88,27,1
139082.5,757,74,1
20367.0,96,27,1
54615.33,175,34,1
210838.15,898,225,1
