business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Sole Proprietor,2016-06-01 00:00:00,Gauteng,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1467294299878-dfa9b9e8-5bec-4b43-bf20-2b75c95cb85b,2021-11-15 10:57:04,17,14000,17130,9511.41,open
Sole Proprietor,2016-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1474379163995-fc8bbbc7-cf3f-4479-9335-3bc8adccca2d,2021-09-10 13:00:24,15.9,590463.38,622862.6,622862.6,finished
Sole Proprietor,2016-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1474379163995-fc8bbbc7-cf3f-4479-9335-3bc8adccca2d,2021-10-29 15:13:09,15.84,740000,953120,86184.7,open
Sole Proprietor,2016-11-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Spa,Card Machine,1477904235403-44d3ebff-a66a-4136-9dd5-6556f70be951,2021-11-15 11:08:34,14,50000,58050,10572.24,open
Sole Proprietor,2016-11-01 00:00:00,Gauteng,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1480063167618-82065c6c-5600-489f-9b03-db1cc86c4bd9,2021-09-03 06:46:41,24,54000,188632,59844.72,open
Company,2016-12-01 00:00:00,Gauteng,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1478782941341-f3898626-7f0c-4423-b236-75556a5ca569,2021-11-03 12:13:46,17,3000,44769,11214.05,open
Sole Proprietor,2017-01-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1483942481356-d108d2b0-e853-46e1-af8e-7f76034a7a26,2021-10-27 09:24:43,15.94,290000,374100,8189.12,open
Company,2017-03-01 00:00:00,Kwazulu-Natal,Retail,Other retail,Other Retail,Card Machine,1488481869839-b8e147d0-6541-4709-82b3-119f6d68895d,2021-11-22 05:52:22,23,10500,25926,,collections_on_hold
Sole Proprietor,2017-03-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1489089487227-1da43088-050a-4e76-aec7-ca82e045e76f,2021-11-25 07:21:46,23,62000,80650,,collections_on_hold
Sole Proprietor,2017-03-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1490855005017-ea214d64-f92d-42cd-b5df-e27a2536dc00,2021-09-21 14:45:02,13,10000,12850,12850,finished
Sole Proprietor,2017-03-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1490855005017-ea214d64-f92d-42cd-b5df-e27a2536dc00,2021-11-22 09:04:08,12,10000,17932,,collections_on_hold
Company,2017-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1491808704884-d33a084b-e30e-4e4e-bfb4-fea91ca55256,2021-11-15 06:51:08,24,12500,16300,2155.68,open
Sole Proprietor,2017-04-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1492821112227-768b566a-bc66-42a8-9650-ca053bc021d6,2021-11-09 18:23:28,17,2500,3100,587.35,open
Company,2017-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1495636117695-a2868822-8f85-4170-b589-e2b0b844616c,2021-09-20 09:48:26,23,31000,49152,17600.29,open
Sole Proprietor,2017-05-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Café,Card Machine,1481900437212-595196f1-6674-4250-abc5-e648b95aa09f,2021-10-01 05:46:42,21,14000,18250,7598.01,open
Sole Proprietor,2017-06-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1493533236437-b956e83e-161d-4cd5-ad65-42eaab19a129,2021-11-18 12:36:53,5,3000,3710,,collections_on_hold
Company,2017-06-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1496837255634-413b114c-36da-4e3f-8551-4bac5b167a59,2021-11-19 16:53:57,5,45000,58550,,collections_on_hold
Company,2017-06-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1497630971876-57427f6f-4ec8-4b0e-a43e-e5658f0f7d8f,2021-10-13 15:10:17,24,6500,8500,3630.72,open
