buuid,txn_vol,accepted_txn,failed_txn,capital_granted
1467294299878-dfa9b9e8-5bec-4b43-bf20-2b75c95cb85b,96686.51000000001,80,25,1
1474379163995-fc8bbbc7-cf3f-4479-9335-3bc8adccca2d,1405768.5,1200,472,1
1474379163995-fc8bbbc7-cf3f-4479-9335-3bc8adccca2d,2285902.36,1572,530,1
1477904235403-44d3ebff-a66a-4136-9dd5-6556f70be951,288562.96,323,68,1
1480063167618-82065c6c-5600-489f-9b03-db1cc86c4bd9,234177.0,274,36,1
1478782941341-f3898626-7f0c-4423-b236-75556a5ca569,147860.0,77,22,1
1483942481356-d108d2b0-e853-46e1-af8e-7f76034a7a26,688614.8099999999,19905,2326,1
1488481869839-b8e147d0-6541-4709-82b3-119f6d68895d,35073.92,143,16,1
1489089487227-1da43088-050a-4e76-aec7-ca82e045e76f,126152.0,344,59,1
1490855005017-ea214d64-f92d-42cd-b5df-e27a2536dc00,71670.0,998,122,1
1490855005017-ea214d64-f92d-42cd-b5df-e27a2536dc00,176952.0,2212,380,1
1491808704884-d33a084b-e30e-4e4e-bfb4-fea91ca55256,23017.0,164,25,1
1492821112227-768b566a-bc66-42a8-9650-ca053bc021d6,13738.0,76,26,1
1495636117695-a2868822-8f85-4170-b589-e2b0b844616c,73817.5,264,32,1
1481900437212-595196f1-6674-4250-abc5-e648b95aa09f,28930.0,381,101,1
1493533236437-b956e83e-161d-4cd5-ad65-42eaab19a129,46080.0,130,6,1
1496837255634-413b114c-36da-4e3f-8551-4bac5b167a59,211747.0,372,36,1
1497630971876-57427f6f-4ec8-4b0e-a43e-e5658f0f7d8f,8802.0,217,50,1
1498479703841-a9a6037b-32ff-4ce0-8871-7c3fa518b43a,54205.0,201,26,1
1498200824452-8528a5e6-c2ba-4757-b57b-437041855c5c,42035.0,124,15,1
1501163899687-8625b44f-45ab-4cb9-98e3-1bc3346900cc,58477.0,189,25,1
1491508034120-49340342-d726-4c5a-91b4-6d25716d14f0,37540.0,117,7,1
1503300253267-f70ea178-5d91-4dce-a1a5-0ca40197718b,79634.0,1279,105,1
1503584119498-59f69e1b-e781-4023-8491-69fe1fa4486f,712659.5,1094,138,1
1504505145972-d020f65b-9022-40e9-b50d-0a5022e336c7,14780.0,49,6,1
1510139860547-4785b212-42e8-408a-9218-b3acfbd2982b,27702.0,18,3,1
1500295206958-f6a050b4-d6e5-4280-abb0-132792bb3ab7,211435.0,138,40,1
1510754116578-055e3979-9292-4d2b-894a-5c9cc63c35bf,34232.0,74,21,1
1510823457999-53d345c3-1ec2-4a05-9e7e-3e259959efb5,52653.49,242,64,1
1448958755531-5b683b8c-21c1-43de-860d-dad09eb13f21,67755.0,225,107,1
1449737993378-40d6d5fa-b55e-4de2-bc84-1f9d059dcfa3,51904.25,174,12,1
1462467013476-f52ab72f-0ca6-4779-9c56-d55b60d88fb5,423897.3,105,26,1
1464768992441-88f17ed7-c95f-4318-a59f-2392db36f0dc,282076.7,322,54,1
1464768992441-88f17ed7-c95f-4318-a59f-2392db36f0dc,287122.0,330,46,1
1454321657435-bd36f9ff-22a9-4212-b416-7b252fe94ed1,91062.8,90,16,1
1454321657435-bd36f9ff-22a9-4212-b416-7b252fe94ed1,284179.89999999997,236,46,1
1471025575706-e6f31f40-3ce8-46dc-90e1-4f392b7e56a8,366352.64,1317,125,1
1477462336278-883ff346-dd17-4002-9700-e5f5f48da3a6,162210.68,269,38,1
1477919006355-a08102de-3509-45c5-9f8b-eff3c3eb9d5a,42450.0,106,18,1
1484832730995-5ad0a93c-f8f3-45bd-999b-bc4f17384dfa,316309.0,742,86,1
1488735069322-dcd1fcec-f37b-4032-b973-a4d117c25dbb,92581.4,57,28,1
1472708396283-783b892f-c6fc-4d61-a1be-b77f217e2bfb,60137.0,142,23,1
1493294273027-622a2d36-cd89-4eb1-bb71-ee86068a1011,117994.8,930,180,1
1479535818517-82a77e85-1cd0-4d2f-8242-5e0cf28aeef0,66400.0,171,11,1
1496318816164-f6e4f39f-2295-4970-bcbb-abfe24f555ef,36280.0,67,9,1
1497436937417-5c476795-9830-473e-89ff-51b8a3f39056,99824.43,272,57,1
1500188519237-8bb93f9b-aacf-4925-a180-3c35f3360127,34180.0,125,39,1
1501776832244-78854f9f-65b6-4d54-b3c2-2892c0da2362,122042.0,801,359,1
1503310187488-561b1912-cb35-499d-a9c1-35b9a64601b4,72141.9,433,51,1
1505549391355-1ddd0343-1554-4b18-a8b6-6e6896114baf,166015.0,103,32,1
1486145986511-68de1eea-e72a-4b0b-b570-3bb1a281b901,195799.0,1213,240,1
1479910239563-8a9d9988-8636-4777-ab15-f6b91edadb5c,445120.18000000005,1178,202,1
1507786452666-769a9fcd-4a0f-4c10-b024-196b498a2542,719909.53,2678,1183,1
