transaction_date,buuid,transaction_value,approved_transaction_count,failed_transaction_count
2021-07-01,1578070189347-46a26fa5-f2ff-47a5-ac3c-b71cc054f2f8,3221,19,9
2021-07-01,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,27240,88,34
2021-07-01,1562332832905-5097413f-df4d-4d71-b67b-539853abf4aa,150,1,0
2021-07-01,1614800510114-2a65984c-3933-43e4-acbc-35aeaa264a9a,6130,14,0
2021-07-01,1549369380501-4a76d419-be6c-4ff6-9705-5d2186f58fa4,5805,2,0
2021-07-01,1624681767248-3d3c8ac0-f38c-4c08-81be-33af9dd731fe,200,1,1
2021-07-02,1585509625445-9aec6212-a41b-4a35-97cb-b4d6b6f4e8ce,706,11,3
2021-07-02,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,14639.99,64,4
2021-07-02,1596099472752-a0247d8f-c922-4438-be2d-5034be12da8f,1064,10,0
2021-07-02,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,3431,16,2
2021-07-02,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,13400,90,80
2021-07-02,1584028974569-c000587d-4126-4149-b234-341d04b50735,470,2,0
2021-07-02,1619426002719-48b037cf-efaf-4d88-a714-dae9a896d8e5,2340,9,0
2021-07-02,1605862209224-f9948586-fb13-4ee1-b30e-37fea7db5444,280,4,0
2021-07-02,1606889051310-95206022-8197-4872-a136-032c381b2b44,6140,12,2
2021-07-02,1587552938317-53d765dd-235b-4e7f-b19f-50cebead47ae,286,3,2
2021-07-03,1579147272986-ee58e4c0-16ce-48d1-b579-6b0dafa9ee2f,6990,44,12
2021-07-03,1601367687832-77fc24dd-a571-441c-afec-7a68922b5f0e,10433.4,34,6
2021-07-03,1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,119.4,2,2
2021-07-04,1496749819797-425dc084-d946-4b85-8635-be8a2295cc75,420,1,0
2021-07-04,1606215638997-18be5214-a8d8-4ee8-b2a5-ca0894bbc5ef,2450,5,2
2021-07-04,1608777682408-c2950cce-fbf1-42c2-806c-4254981aa846,680,2,0
2021-07-04,1616501877368-112fb449-fb08-4909-8403-a3c0e60c9c7c,730,4,2
2021-07-05,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,1290,28,12
2021-07-05,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,22164,82,10
2021-07-05,1607424361966-803a9db8-f078-4427-bc4e-9eca2111fd95,42985,170,10
2021-07-05,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,1756,13,0
2021-07-05,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,2664,12,1
2021-07-05,1592288774385-cad9392f-8933-4374-ba9f-8e5d01899299,1073,8,0
2021-07-05,1606844409968-52d0cf22-ddf5-4407-972c-414cf9a96638,940,1,0
2021-07-06,1505224680537-7903972e-3a59-42e1-83cb-485992adee13,3340,32,2
2021-07-06,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,7176,21,12
2021-07-06,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,5326,27,2
2021-07-06,1603903434921-c575c532-b033-410a-9de9-f2d7e18f8401,4400,4,0
2021-07-06,1601270222743-4b9129e3-fbad-49a5-a536-aca523da26bc,480,2,0
2021-07-06,1579147272986-ee58e4c0-16ce-48d1-b579-6b0dafa9ee2f,1764,21,3
2021-07-07,1596099472752-a0247d8f-c922-4438-be2d-5034be12da8f,539,11,1
2021-07-07,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,2560,46,30
2021-07-07,1505216474210-01bf2eb5-2348-492c-a824-9f4a3c98d599,1111.15,6,0
2021-07-07,1615980831684-eb6869d7-d08a-4f32-a946-c6e0e27d55dd,1975,5,0
2021-07-07,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,3141,19,0
2021-07-07,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,4138,11,11
2021-07-07,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,11473,42,4
2021-07-07,1510659877007-51c26bb3-ce5d-406c-9c2c-d942970fa2f5,540,3,0
2021-07-08,1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,632.58,6,2
2021-07-08,1581669839783-dd6eb860-eead-4e3e-8a19-159b25342443,6033.1,24,8
2021-07-08,1496749819797-425dc084-d946-4b85-8635-be8a2295cc75,534,2,0
2021-07-09,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,3150,50,0
2021-07-09,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,7032.4,33,2
2021-07-09,1592288774385-cad9392f-8933-4374-ba9f-8e5d01899299,1112,10,2
2021-07-09,1617280710337-a99376ab-fc4c-4ca0-a004-00a327a7b2a9,1630,3,0
2021-07-09,1614946398071-8b1c355a-e218-4590-9e67-1d2414584215,4150,14,0
2021-07-09,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,4760,16,4
2021-07-10,1607424361966-803a9db8-f078-4427-bc4e-9eca2111fd95,57140,170,10
2021-07-10,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,7990,10,1
2021-07-10,1622301451154-ebcc4697-1a31-44d9-bd8a-062b57c1d20f,1800,5,0
2021-07-10,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,8082,34,2
2021-07-11,1581633732665-416ca8f8-dc68-4567-be17-c6ed13609eb0,890,1,4
2021-07-11,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,2928,19,4
2021-07-11,1592736443622-d75a5636-8af5-4baa-828d-a1626342fcdc,3925,7,2
2021-07-11,1579147272986-ee58e4c0-16ce-48d1-b579-6b0dafa9ee2f,1328,14,4
2021-07-12,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,65305,55,0
2021-07-12,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,382,2,4
2021-07-12,1498144622675-cd9a0afc-2435-48d8-9199-c543c709d22b,2050,4,0
2021-07-12,1617353005467-7f625356-d4b2-4179-9ef2-62e9cd63ae55,500,8,0
2021-07-13,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,2518,6,0
2021-07-13,1614940783691-4dc1f60b-a3ef-4a15-9f10-03015eb12b33,2000,1,3
2021-07-14,1547072155388-6473e8ed-1a3f-45af-a8e1-97420b9aaf9f,2380,5,4
2021-07-14,1589961365391-2b9a3838-cfe4-494d-be95-264ca3b038e7,80,1,1
2021-07-14,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,20750,40,0
2021-07-14,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,2375,15,5
2021-07-14,1574885425305-1557d695-5fc8-4077-a237-c5fa8fc0c32b,1840,3,2
2021-07-15,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,3038,12,2
2021-07-15,1562706340143-9d8cd2e6-ba1f-415e-9430-c06ae86e6131,7366.84,10,1
2021-07-15,1596611120961-655c4d79-902b-40ce-957d-92a4feffccad,12740,16,10
2021-07-15,1601367687832-77fc24dd-a571-441c-afec-7a68922b5f0e,5475,13,1
2021-07-15,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,4746,23,11
2021-07-15,1588848041740-384c66c5-1448-4812-8d05-b38e3c99ebc0,600,1,1
2021-07-15,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,27936,192,8
2021-07-15,1534224024621-48d2bddb-a0c0-4021-9512-f21f3b495d3b,550,2,0
2021-07-16,1626417743218-444e9984-1117-46a0-85df-87a454ce2cf5,2,1,0
2021-07-16,1579147272986-ee58e4c0-16ce-48d1-b579-6b0dafa9ee2f,5087.5,29,8
2021-07-01,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,845,9,4
2021-07-01,1614443245255-7bd5db22-e8e8-4962-8da3-8046fb6ee291,180,1,1
2021-07-01,1581633732665-416ca8f8-dc68-4567-be17-c6ed13609eb0,3414,4,1
2021-07-01,1608703291161-343b015e-ae54-4d3f-bdab-34f43092a7ef,1555,4,0
2021-07-01,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,18457,51,11
2021-07-01,1579090622924-c53eb2f6-d145-4d38-bf15-50d7969387f5,1541,6,3
2021-07-01,1596315908073-443353a6-d409-4732-aee5-9f9a752dd8ee,700,11,1
2021-07-01,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,20405,95,40
2021-07-02,1589298104786-b83d7fe1-35c5-43fb-b36d-94571c3a2e46,9500,5,0
2021-07-02,1582533813745-f64f36a2-8efb-4ca4-b492-0ffb2b88cefd,1660,5,0
2021-07-02,1617135765902-4609af92-4951-4347-a328-79a2f7e51647,507,13,1
2021-07-02,1547196667303-8de6d15c-4566-470e-8977-ca9be4262d05,1390,13,6
2021-07-02,1570870577807-45df98b6-bbd9-48bd-bd31-6c822e1df005,1934,3,0
2021-07-02,1594741366016-a9b135c0-7f6a-41df-ac28-e6d548d367eb,1181,5,0
2021-07-02,1517567512986-dd1b0795-47e6-4232-ac4c-4ec28749773e,3754,11,0
2021-07-03,1479108360638-bf43ff5d-7e91-43c3-aeb5-f2fda4502650,15339,14,3
2021-07-03,1590134671750-e5309e09-a3a7-481a-bf7e-84c43769881d,1470,3,0
2021-07-03,1608219600940-a4207577-3395-4117-92b3-d870ec721416,310,5,1
2021-07-03,1595996116117-c407419e-ebdc-4506-9362-805ad6cf0029,1630,6,3
2021-07-03,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,2571,12,6
2021-07-03,1512302249032-b4289826-1258-427b-be14-8cab04a14c26,2474,4,0
2021-07-03,1614946398071-8b1c355a-e218-4590-9e67-1d2414584215,4560,6,2
2021-07-03,1571473002958-76439d6b-a90b-4ec2-81fb-b788a3085537,4857,21,0
2021-07-03,1501776832244-78854f9f-65b6-4d54-b3c2-2892c0da2362,600,3,3
2021-07-03,1621202180552-ceb72c1f-78ff-42e0-af72-22dd4001d22a,579.8,5,0
2021-07-03,1578071147055-162335f1-b5d4-4641-8173-2a12c7c30520,420,4,4
2021-07-04,1624366890594-40f2ee0d-8b5e-427c-9e8d-bead75e6feff,200,1,0
2021-07-04,1578070189347-46a26fa5-f2ff-47a5-ac3c-b71cc054f2f8,3849,19,10
2021-07-05,1584088291949-94b92ebb-a45d-4fc7-9300-063756504f30,15144.44,17,6
2021-07-05,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,652,8,1
2021-07-05,1579147272986-ee58e4c0-16ce-48d1-b579-6b0dafa9ee2f,1280.18,19,6
2021-07-05,1594741366016-a9b135c0-7f6a-41df-ac28-e6d548d367eb,764,5,0
2021-07-05,1592736443622-d75a5636-8af5-4baa-828d-a1626342fcdc,3240,7,0
2021-07-06,1572023920337-786cc891-e3cf-4cd6-93bd-3e0069307088,680,2,0
2021-07-06,1619596147529-8dc6fe4d-57b1-47bc-9614-64cb0a905333,980,3,0
2021-07-06,1594741366016-a9b135c0-7f6a-41df-ac28-e6d548d367eb,2079,9,0
2021-07-06,1584127344675-bf382bff-4ce5-470a-98e4-dc8db83e03de,1650,6,0
2021-07-06,1508242147176-601f2265-35ce-49ab-b372-e6f4bdec49db,648,4,0
2021-07-07,1582533813745-f64f36a2-8efb-4ca4-b492-0ffb2b88cefd,540,4,0
2021-07-07,1584127344675-bf382bff-4ce5-470a-98e4-dc8db83e03de,600,2,0
2021-07-07,1598956810701-5ba980b1-2a8e-4c82-b697-85a6800f4697,1370,5,1
2021-07-07,1594982148060-6f5415e0-ace0-4abb-af71-6b5bf41bf62b,4200,10,2
2021-07-08,1616071742963-57ffec1d-3732-4b9e-84f2-02744cc67f38,1970,7,0
2021-07-08,1571473002958-76439d6b-a90b-4ec2-81fb-b788a3085537,3489,15,0
2021-07-08,1617135765902-4609af92-4951-4347-a328-79a2f7e51647,922,23,0
2021-07-08,1608219600940-a4207577-3395-4117-92b3-d870ec721416,910,17,5
2021-07-08,1578918956457-d6904094-f207-4166-9420-f0ca1a275a87,4410,10,0
2021-07-08,1596611120961-655c4d79-902b-40ce-957d-92a4feffccad,9780,24,2
2021-07-08,1590134671750-e5309e09-a3a7-481a-bf7e-84c43769881d,850,4,0
2021-07-09,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,1259,16,2
2021-07-09,1556802952350-5f5a9b37-64c6-4dde-aab6-8fbe42ca70bd,2216,5,0
2021-07-09,1596099472752-a0247d8f-c922-4438-be2d-5034be12da8f,1308,8,1
2021-07-09,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,14183,49,1
2021-07-09,1584127344675-bf382bff-4ce5-470a-98e4-dc8db83e03de,1400,4,2
2021-07-09,1598956810701-5ba980b1-2a8e-4c82-b697-85a6800f4697,2075,8,0
2021-07-09,1603903434921-c575c532-b033-410a-9de9-f2d7e18f8401,2500,4,0
2021-07-09,1606215638997-18be5214-a8d8-4ee8-b2a5-ca0894bbc5ef,1080,1,0
2021-07-09,1606889051310-95206022-8197-4872-a136-032c381b2b44,1060,4,8
2021-07-09,1622066064537-ad986e32-7de1-4504-9cb6-9c12393f0a79,3595,18,0
2021-07-10,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,15445,85,20
